published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,DT_Row_Index
2025-09-21,9.02,9.3,8.67,9.12,-0.87,3200.0,28623.0,-1,1
2025-09-08,9.2,9.25,9.02,9.2,-1.08,5050.0,46353.5,-1,1
2025-09-07,8.95,9.47,8.95,9.3,1.97,15400.0,142449.0,1,1
2025-09-04,9.06,9.12,9.01,9.12,-1.3,2200.0,20011.0,-1,1
2025-09-03,9.14,9.32,8.98,9.24,-0.86,33876.0,314275.79,-1,1
2025-09-02,8.87,9.35,8.87,9.32,3.1,23974.0,222295.7,1,1
2025-09-01,8.91,9.2,8.91,9.04,-0.33,17475.0,160136.5,-1,1
2025-08-31,9.34,9.34,9.07,9.07,-0.98,22950.0,209475.25,-1,1
2025-08-28,8.9,9.4,8.9,9.16,1.1,24475.0,221089.25,1,1
2025-08-27,8.94,9.15,8.93,9.06,-0.22,14290.0,130057.9,-1,1
2025-08-26,9.06,9.1,9.06,9.08,-1.63,1300.0,11789.0,-1,1
2025-08-25,8.88,9.23,8.88,9.23,1.99,950.0,8565.75,1,1
2025-08-24,10.0,10.25,10.0,10.1,-0.59,16460.0,166117.5,-1,1
2025-08-21,10.0,10.21,10.0,10.16,0.4,8550.0,86504.0,1,1
2025-08-20,10.0,10.2,10.0,10.12,-0.3,27500.0,277920.0,-1,1
2025-08-19,10.02,10.2,10.02,10.15,0.1,16950.0,172760.0,1,1
2025-08-18,10.25,10.44,10.08,10.14,-0.98,34759.0,353125.15,-1,1
2025-08-17,10.4,10.4,9.99,10.24,-0.19,40150.0,411348.5,-1,1
2025-08-14,10.15,10.4,10.15,10.26,-0.58,78550.0,804324.0,-1,1
2025-08-13,10.14,10.4,10.14,10.32,0.78,55925.0,576832.0,1,1
2025-08-12,10.1,10.24,10.1,10.24,-0.58,35200.0,360116.0,-1,1
2025-08-11,10.12,10.38,10.12,10.3,0.1,19250.0,197170.5,1,1
2025-08-07,10.11,10.37,10.11,10.29,0.19,35981.0,369415.18,1,1
2025-08-06,10.1,10.3,10.1,10.27,0.79,15501.0,158056.68,1,1
2025-08-05,10.01,10.28,10.01,10.19,0.69,32060.0,326877.2,1,1
2025-08-04,10.1,10.3,10.1,10.12,-0.59,10000.0,101459.0,-1,1
2025-08-03,10.13,10.3,10.13,10.18,-1.26,21100.0,214704.0,-1,1
2025-07-31,10.29,10.45,10.29,10.31,-1.81,170250.0,1769794.0,-1,1
2025-07-30,10.11,10.57,10.11,10.5,2.14,1045984.0,10921849.92,1,1
2025-07-29,10.1,10.4,10.1,10.28,0.69,248732.0,2571113.08,1,1
2025-07-28,10.07,10.37,10.07,10.21,0.39,582350.0,5952417.2,1,1
2025-07-27,10.02,10.41,10.02,10.17,-0.39,162620.0,1660301.8,-1,1
2025-07-24,10.21,10.41,10.07,10.21,-1.83,57050.0,589384.0,-1,1
2025-07-23,10.2,10.42,10.2,10.4,0.19,159300.0,1656416.0,1,1
2025-07-22,10.06,10.4,10.06,10.38,1.67,104099.0,1071237.6,1,1
2025-07-21,10.0,10.37,10.0,10.21,0.39,504900.0,5201573.0,1,1
2025-07-20,9.97,10.34,9.97,10.17,0.3,161100.0,1649035.0,1,1
2025-07-17,10.0,10.15,9.96,10.14,0.9,2034300.0,20606936.0,1,1
2025-07-16,9.87,10.15,9.49,10.05,-0.2,431030.0,4330643.3,-1,1
2025-07-15,9.9,10.14,9.9,10.07,0.6,8200.0,82271.0,1,1
2025-07-14,10.0,10.1,10.0,10.01,-0.5,11650.0,116627.5,-1,1
2025-07-13,9.8,10.12,9.65,10.06,0.8,2019700.0,20237846.0,1,1
2025-07-10,9.95,10.04,9.92,9.98,-0.2,5800.0,57918.0,-1,1
2025-07-09,9.96,10.0,9.96,10.0,0.1,10500.0,104951.0,1,1
2025-07-08,9.91,10.1,9.82,9.99,0.2,36900.0,366118.0,1,1
2025-07-07,9.74,10.04,9.74,9.97,0.5,27490.0,274709.4,1,1
2025-07-06,9.7,10.0,9.7,9.92,0.61,5500.0,54378.0,1,1
2025-07-03,9.8,9.86,9.8,9.86,-0.9,7350.0,72342.0,-1,1
2025-07-02,9.79,9.97,9.78,9.95,-0.2,4310.0,42512.9,-1,1
2025-07-01,9.51,10.0,9.51,9.97,2.78,176390.0,1745854.7,1,1
2025-06-30,9.45,9.72,9.44,9.7,0.62,9700.0,93537.0,1,1
2025-06-29,9.5,9.64,9.5,9.64,-0.1,3600.0,34314.0,-1,1
2025-06-26,9.47,9.67,9.46,9.65,0.0,12626.0,121190.4,0,1
2025-06-25,9.5,9.8,9.5,9.65,-0.31,37619.0,363731.11,-1,1
2025-06-24,9.69,10.27,9.31,9.68,1.89,22150.0,214551.9,1,1
2025-06-23,9.79,10.17,9.45,9.5,-1.04,2310.0,22195.0,-1,1
2025-06-22,9.46,9.74,9.46,9.6,-0.41,5403.0,51961.92,-1,1
2025-06-19,9.48,9.64,9.48,9.64,-0.1,4400.0,42101.02,-1,1
2025-06-18,9.5,9.67,9.5,9.65,0.94,6300.0,60166.0,1,1
2025-06-17,9.5,9.56,9.5,9.56,-0.93,1900.0,18151.0,-1,1
2025-06-16,9.52,9.7,9.52,9.65,1.37,5600.0,53993.0,1,1
2025-06-15,9.52,9.52,9.49,9.52,-1.96,15400.0,146339.02,-1,1
2025-06-12,9.57,9.75,9.57,9.71,-0.51,9400.0,90596.0,-1,1
2025-06-11,9.69,9.76,9.57,9.76,0.72,2950.0,28490.0,1,1
2025-06-10,9.47,9.78,9.47,9.69,0.94,5900.0,56979.0,1,1
2025-06-09,9.41,9.6,9.41,9.6,0.21,3200.0,30346.0,1,1
2025-06-08,9.5,9.6,9.5,9.58,-1.14,2100.0,20078.0,-1,1
2025-06-05,9.55,9.7,9.55,9.69,-0.31,9830.0,95126.0,-1,1
2025-06-04,9.5,9.75,9.5,9.72,1.04,14900.0,144181.0,1,1
2025-06-03,9.55,9.69,9.55,9.62,0.73,9050.0,86712.5,1,2
2025-06-02,9.44,9.6,9.3,9.55,-0.83,6100.0,57742.0,-1,1
2025-05-28,9.6,9.77,9.6,9.63,-0.1,14401.0,138731.65,-1,1
2025-05-27,9.57,9.65,9.57,9.64,0.42,2950.0,28322.5,1,2
2025-05-26,9.6,9.69,9.56,9.6,0.21,5100.0,48976.0,1,1
2025-05-25,9.57,9.72,9.42,9.58,0.1,21037.0,201430.35,1,2
2025-05-22,9.46,9.71,9.46,9.57,0.53,28360.0,274810.0,1,3
2025-05-21,9.32,9.53,9.32,9.52,1.28,3000.0,28420.0,1,4
2025-05-20,9.31,9.58,9.31,9.4,0.97,15630.0,148574.4,1,5
2025-05-19,9.4,9.5,9.31,9.31,-0.96,52330.0,496618.3,-1,6
2025-05-18,9.2,9.4,9.2,9.4,0.21,3850.0,35729.5,1,7
2025-05-15,9.33,9.4,9.33,9.38,-0.11,7200.0,67263.5,-1,8
2025-05-14,9.24,9.42,9.11,9.39,-0.32,4550.0,42403.0,-1,9
2025-05-13,9.5,9.5,9.41,9.42,-1.77,3500.0,33039.0,-1,10
2025-05-11,9.27,9.6,9.27,9.59,1.8,5700.0,54310.0,1,11
2025-05-08,9.33,9.53,9.33,9.42,-0.95,12950.0,122269.5,-1,12
2025-05-07,9.28,9.64,9.28,9.51,1.06,9700.0,92057.0,1,13
2025-05-06,9.3,9.81,9.3,9.41,-0.74,11600.0,109855.0,-1,14
2025-05-05,9.16,9.5,9.16,9.48,1.72,9060.0,85029.9,1,15
2025-05-04,9.11,9.41,9.11,9.32,0.87,6100.0,56338.0,1,16
2025-04-30,9.14,9.3,9.14,9.24,-0.75,1000.0,9223.0,-1,17
2025-04-29,9.19,9.31,9.19,9.31,-0.11,2500.0,23178.0,-1,18
2025-04-28,9.39,9.43,9.32,9.32,-2.71,17000.0,160033.0,-1,19
2025-04-27,9.57,9.68,9.42,9.58,-1.84,6250.0,60293.5,-1,20
2025-04-24,9.22,9.8,9.22,9.76,4.83,101850.0,988783.0,1,21
2025-04-23,9.23,9.31,9.23,9.31,0.22,2500.0,23241.0,1,22
2025-04-22,9.25,9.3,9.24,9.29,-0.21,35200.0,326160.0,-1,23
2025-04-21,9.19,9.46,9.19,9.31,0.32,36700.0,341709.0,1,24
2025-04-20,9.17,9.28,9.17,9.28,-0.54,2500.0,23049.0,-1,25
2025-04-17,9.13,9.42,9.13,9.33,0.97,11800.0,110689.0,1,26
2025-04-16,9.01,9.41,9.01,9.24,0.98,6150.0,57072.5,1,27
2025-04-15,9.08,9.15,9.08,9.15,-0.54,1900.0,17307.0,-1,28
2025-04-13,9.03,9.2,9.03,9.2,0.0,2400.0,21782.0,0,29
2025-04-10,8.99,9.2,8.99,9.2,0.44,1900.0,17401.0,1,30
2025-04-09,9.07,9.25,8.9,9.16,0.99,8100.0,74498.0,1,31
2025-04-08,8.99,9.1,8.99,9.07,-0.55,5250.0,47575.5,-1,32
2025-04-07,9.01,9.29,9.0,9.12,-0.76,2000.0,18225.0,-1,33
2025-04-03,9.2,9.2,9.19,9.19,0.33,2900.0,26671.0,1,34
2025-04-02,8.93,9.2,8.93,9.16,0.55,2600.0,23738.0,1,35
2025-04-01,8.98,9.19,8.98,9.11,-0.55,2690.0,24529.1,-1,36
2025-03-30,8.93,9.17,8.93,9.16,1.89,1900.0,17353.0,1,37
2025-03-27,8.92,9.33,8.92,8.99,-1.1,5400.0,49633.0,-1,38
2025-03-26,8.78,9.15,8.78,9.09,2.25,7150.0,64485.5,1,39
2025-03-25,8.88,8.9,8.88,8.89,-1.44,400.0,3556.0,-1,40
2025-03-24,8.8,9.13,8.8,9.02,0.89,3200.0,28956.0,1,41
2025-03-23,8.9,9.02,8.75,8.94,-1.54,2300.0,20523.0,-1,42
2025-03-20,9.03,9.2,9.03,9.08,-1.41,3310.0,30058.5,-1,43
2025-03-19,9.17,9.25,9.17,9.21,-1.07,2650.0,24424.5,-1,44
2025-03-18,9.18,9.35,9.18,9.31,-0.53,3600.0,33399.0,-1,45
2025-03-17,9.15,9.36,9.15,9.36,0.65,7650.0,70998.5,1,46
2025-03-16,9.16,9.35,9.16,9.3,-0.43,4650.0,43283.0,-1,47
2025-03-12,9.3,9.34,9.3,9.34,-0.21,3100.0,28946.0,-1,48
2025-03-11,9.18,9.4,9.18,9.36,0.0,3900.0,36311.0,0,49
2025-03-10,9.47,9.55,9.29,9.36,-3.01,22450.0,212953.0,-1,50
2024-12-12,9.36,9.66,9.36,9.66,1.15,25705.0,244413.05,1,1
2024-12-11,9.34,9.55,9.32,9.55,0.21,4660.0,44185.0,1,1
2024-12-10,9.4,9.53,9.4,9.53,0.53,4430.0,42155.9,1,1
2024-12-09,9.32,9.51,9.32,9.48,-0.21,1100.0,10389.0,-1,2
2024-12-08,9.56,9.69,9.41,9.5,-2.56,2700.0,25642.0,-1,3
2024-12-05,9.6,9.79,9.5,9.75,2.85,23300.0,227214.5,1,4
2024-12-04,9.47,9.51,9.41,9.48,-1.86,3100.0,29425.0,-1,5
2024-12-03,9.66,9.67,9.34,9.66,-1.93,16400.0,158263.0,-1,6
2024-12-02,9.8,9.85,9.32,9.85,1.55,2400.0,22933.0,1,7
2024-12-01,9.31,9.7,9.31,9.7,2.21,3100.0,29165.0,1,8
2024-11-28,9.34,9.63,9.34,9.49,0.42,4500.0,42565.0,1,9
2024-11-27,9.4,9.77,9.37,9.45,0.53,8900.0,84030.0,1,10
2024-11-26,9.31,9.57,9.31,9.4,-0.74,4200.0,39488.0,-1,11
2024-11-25,9.41,9.5,9.41,9.47,-0.84,4100.0,38846.0,-1,12
2024-11-24,9.52,9.6,9.36,9.55,0.32,6720.0,63634.0,1,13
2024-11-21,9.44,9.7,9.44,9.52,-0.83,11095.0,106591.5,-1,14
2024-11-20,9.37,9.6,9.37,9.6,0.42,2395.0,22573.85,1,15
2024-11-19,9.51,9.89,9.51,9.56,-1.44,4450.0,42690.0,-1,16
2024-11-17,9.39,9.7,9.39,9.7,1.36,19500.0,187446.0,1,17
2024-11-14,9.56,10.09,9.56,9.57,-1.85,15205.0,149605.35,-1,18
2024-11-13,9.83,9.83,9.7,9.75,-2.5,2420.0,23564.2,-1,19
2024-11-12,9.56,10.12,9.56,10.0,2.56,549405.0,5494380.25,1,20
2024-11-11,9.37,9.8,9.37,9.75,1.99,72478.0,706087.5,1,21
2024-11-10,9.38,9.56,9.31,9.56,-0.1,8700.0,81813.0,-1,22
2024-11-06,9.56,9.57,9.39,9.57,-1.75,2200.0,20770.0,-1,23
2024-11-05,9.32,9.74,9.22,9.74,4.39,26000.0,247659.0,1,24
2024-10-30,9.32,9.5,9.32,9.33,-1.89,6494.0,60753.08,-1,25
2024-10-29,9.84,9.84,9.48,9.51,-1.45,4150.0,39866.5,-1,26
2024-10-28,9.52,9.65,9.33,9.65,-0.62,7200.0,68598.0,-1,27
2024-10-27,9.89,10.0,9.7,9.71,0.1,315056.0,3142628.5,1,28
2024-10-24,9.31,9.7,9.31,9.7,5.32,156090.0,1502120.0,1,29
2024-10-23,9.27,9.27,9.1,9.21,-2.44,1900.0,17450.0,-1,30
2024-10-22,9.26,9.44,9.25,9.44,0.11,2500.0,23210.0,1,31
2024-10-21,9.33,9.6,9.16,9.43,-0.84,13525.0,127299.75,-1,32
2024-10-20,9.54,9.92,9.0,9.51,1.6,181250.0,1754573.0,1,33
2024-10-17,9.5,9.5,9.32,9.36,-1.47,107082.0,1002482.36,-1,34
2024-10-16,9.46,9.62,9.46,9.5,-1.55,130156.0,1248073.42,-1,35
2024-10-15,8.94,9.65,8.51,9.65,5.81,102600.0,890096.0,1,36
2024-10-09,8.9,9.12,8.9,9.12,2.47,17280.0,156300.0,1,37
2024-10-08,8.85,9.02,8.85,8.9,-1.11,1300.0,11633.0,-1,38
2024-10-07,8.91,9.18,8.91,9.0,0.0,2108.0,18945.0,0,39
2024-10-06,8.9,9.18,8.9,9.0,-0.88,2100.0,18878.0,-1,40
2024-10-02,8.78,9.08,8.72,9.08,1.45,4562.0,40437.96,1,41
2024-10-01,8.55,8.95,8.55,8.95,3.71,4800.0,41991.0,1,42
2024-09-30,8.8,8.9,8.59,8.63,-1.6,41953.0,363788.54,-1,43
2024-09-29,8.76,8.93,8.76,8.77,0.11,2430.0,21367.5,1,44
2024-09-26,8.75,8.8,8.75,8.76,-1.02,2790.0,24443.4,-1,45
2024-09-25,8.75,8.9,8.75,8.85,0.23,5550.0,49031.5,1,46
2024-09-24,8.85,9.0,8.82,8.83,-1.89,13850.0,122543.0,-1,47
2024-09-23,8.92,9.0,8.8,9.0,-1.1,2200.0,19590.0,-1,48
2024-09-22,8.85,9.15,8.85,9.1,1.22,20400.0,184959.5,1,49
2024-09-18,8.86,9.1,8.86,8.99,-0.11,5900.0,53065.7,-1,50
2024-09-16,8.97,9.12,8.97,9.0,-1.32,12435.0,112002.2,-1,51
2024-09-15,9.06,9.12,9.06,9.12,0.55,3350.0,30439.0,1,52
2024-09-12,9.06,9.23,9.06,9.07,0.11,5100.0,46272.2,1,53
2024-09-11,9.25,9.25,9.05,9.06,-2.05,28800.0,261740.0,-1,54
2024-09-10,9.28,9.37,9.25,9.25,-2.12,16700.0,155447.0,-1,55
